key,en,es,fr,de,pt,th,vi,id,ms,fil,zh
env.cover.change,"""🖼 Change cover""","""🖼 Cambiar portada""","""🖼 Changer de couverture""","""🖼 Cover wechseln""",,,,,,,"""🖼 更换封面"""
env.cover.change_btn,"""🖼 Change cover""","""🖼 Cambiar portada""","""🖼 Changer de couverture""","""🖼 Cover wechseln""",,,,,,,"""🖼 更换封面"""
env.cover.entry_tip,"""Pick from the media channel or “Skip.”""","""Puedes elegir una portada del canal de medios, o «Omitir».""","""Tu peux choisir une couverture depuis le canal de médias, ou « Passer ».""","""Wähle ein Cover aus dem Medienkanal oder „Überspringen“.""",,,,,,,"""你可以从素材频道选择一个封面，也可“跳过”。"""
env.cover.from_channel,"""🖼 From media channel""","""🖼 Desde el canal""","""🖼 Depuis le canal""","""🖼 Aus dem Kanal""",,,,,,,"""🖼 从素材频道选择"""
env.cover.item,"""Cover""","""Portada""","""Couverture""","""Cover""",,,,,,,"""封面"""
env.cover.next,"""Next »""","""Siguiente »""","""Suivant »""","""Weiter »""",,,,,,,"""下一页 »"""
env.cover.none,"""🚫 No cover""","""🚫 Sin portada""","""🚫 Pas de couverture""","""🚫 Kein Cover""",,,,,,,"""🚫 不使用封面"""
env.cover.open_list,"""🖼 Choose cover""","""🖼 Elegir portada""","""🖼 Choisir une couverture""","""🖼 Cover wählen""",,,,,,,"""🖼 选择封面"""
env.cover.pick_title,"""🖼 Choose cover (media channel)""","""🖼 Elige portada (canal)""","""🖼 Choisis une couverture (canal)""","""🖼 Cover wählen (Kanal)""",,,,,,,"""🖼 请选择封面（素材频道）"""
env.cover.prev,"""« Prev""","""« Anterior""","""« Précédent""","""« Zurück""",,,,,,,"""« 上一页"""
env.cover.repick,"""🔄 Pick again""","""🔄 Elegir de nuevo""","""🔄 Rechoisir""","""🔄 Neu wählen""",,,,,,,"""🔄 重新选择"""
env.cover.use_this,"""✅ Use this cover""","""✅ Usar esta portada""","""✅ Utiliser cette couverture""","""✅ Dieses Cover verwenden""",,,,,,,"""✅ 使用此封面"""
env.custom_input,"""✏️ Custom input""","""✏️ Entrada personalizada""","""✏️ Saisie personnalisée""","""✏️ Eigene Eingabe""",,,,,,,"""✏️ 自定义输入"""
env.dist.ask,"""⚖️ Choose distribution""","""⚖️ Elige el modo de reparto""","""⚖️ Choisis le mode de répartition""","""⚖️ Verteilungsart wählen""",,,,,,,"""⚖️ 请选择分配方式"""
env.dist.fixed,"""🟰 Even split (fixed)""","""🟰 Igualitario (fijo)""","""🟰 Égalitaire (fixe)""","""🟰 Gleichmäßig (fix)""",,,,,,,"""🟰 平均分（固定）"""
env.dist.random,"""🎲 Random (luck)""","""🎲 Suerte (aleatorio)""","""🎲 Chance (aléatoire)""","""🎲 Glück (zufällig)""",,,,,,,"""🎲 拼手气（随机）"""
env.dm_hint,"""🔒 For privacy, continue in DM. Tap the blue button below.""","""🔒 Para tu privacidad, seguimos por privado. Pulsa el botón azul.""","""🔒 Pour ta vie privée, on continue en privé. Clique le bouton bleu ci-dessous.""","""🔒 Zum Schutz der Privatsphäre geht es im Privatchat weiter. Klicke unten den blauen Button.""",,,,,,,"""🔒 为保护隐私，已在私聊继续发红包。点下面蓝色按钮进入私聊。"""
env.errors.insufficient,"""💳 Insufficient balance — top up or lower the amount.""","""💳 Saldo insuficiente. Recarga o reduce el importe.""","""💳 Solde insuffisant. Recharge ou diminue le montant.""","""💳 Unzureichendes Guthaben. Bitte aufladen oder Betrag senken.""",,,,,,,"""💳 余额不足 —— 请先充值或降低金额。"""
env.errors.invalid_amount,"""❌ Invalid amount format. Please re-enter.""","""❌ Importe inválido. Inténtalo de nuevo.""","""❌ Montant invalide. Réessaie.""","""❌ Ungültiger Betrag. Bitte erneut eingeben.""",,,,,,,"""❌ 金额格式不正确，请重新输入。"""
env.errors.invalid_shares,"""❌ Invalid shares. Please re-enter.""","""❌ Número de partes inválido. Inténtalo de nuevo.""","""❌ Nombre de parts invalide. Réessaie.""","""❌ Ungültige Anteilzahl. Bitte erneut eingeben.""",,,,,,,"""❌ 份数不正确，请重新输入。"""
env.errors.no_rights,"""🚫 Bot has no send permission in the group. Grant “Send Messages.”""","""🚫 El bot no tiene permiso para enviar mensajes en ese grupo.""","""🚫 Le bot n’a pas le droit d’envoyer des messages ici.""","""🚫 Bot hat keine Senderechte in dieser Gruppe.""",,,,,,,"""🚫 机器人在该群没有发言权限，请授予“发送消息”。"""
env.errors.not_found,"""❌ Target group not found. Check chat_id or link.""","""❌ Grupo no encontrado. Revisa chat_id o enlace.""","""❌ Groupe introuvable. Vérifie le chat_id ou le lien.""","""❌ Gruppe nicht gefunden. chat_id oder Link prüfen.""",,,,,,,"""❌ 未找到该群，请检查 chat_id 或链接。"""
env.errors.not_in_chat,"""🚫 Bot is not in the group. Invite it first.""","""🚫 El bot no está en ese grupo. Invítalo primero.""","""🚫 Le bot n’est pas dans ce groupe. Invite-le d’abord.""","""🚫 Bot ist nicht in dieser Gruppe. Bitte zuerst einladen.""",,,,,,,"""🚫 机器人不在该群，请先将机器人邀请入群。"""
env.errors.not_ready,"""⚠️ Parameters incomplete. Follow the steps.""","""⚠️ Parámetros incompletos. Sigue los pasos.""","""⚠️ Paramètres incomplets. Suis les étapes.""","""⚠️ Parameter unvollständig. Bitte den Schritten folgen.""",,,,,,,"""⚠️ 参数未填写完整，请按步骤操作。"""
env.errors.unknown,"""⚠️ Cannot verify the target chat. Try later.""","""⚠️ No se pudo verificar el grupo. Intenta más tarde.""","""⚠️ Impossible de vérifier le groupe. Réessaie.""","""⚠️ Gruppe konnte nicht verifiziert werden. Später erneut versuchen.""",,,,,,,"""⚠️ 无法验证目标群，请稍后再试。"""
env.fail.create,"""❌ Creation failed. Try again later.""","""❌ Error al crear. Inténtalo más tarde.""","""❌ Échec de création, réessaie plus tard.""","""❌ Erstellung fehlgeschlagen. Bitte später erneut versuchen.""",,,,,,,"""❌ 创建失败，请稍后重试。"""
env.fail.post,"""⚠️ Created but failed to post the card. Check the target chat.""","""⚠️ Creado, pero fallo al publicar la tarjeta. Revisa el destino.""","""⚠️ Créée, mais l’envoi de la carte a échoué. Vérifie la cible.""","""⚠️ Erstellt, aber Kartensendung fehlgeschlagen. Ziel prüfen.""",,,,,,,"""⚠️ 已创建成功，但投放卡片失败，请检查目标会话。"""
env.fail.quick_refund,"""❌ Quick send failed. Refunded.""","""❌ Envío rápido fallido, reembolso emitido.""","""❌ Envoi rapide échoué, remboursé.""","""❌ Schnellsenden fehlgeschlagen, erstattet.""",,,,,,,"""❌ 快捷发送失败，已退款。"""
env.input_amount_tip,"""✍️ You can directly send a number""","""✍️ También puedes enviar un número directamente""","""✍️ Tu peux aussi envoyer un nombre directement""","""✍️ Du kannst auch direkt eine Zahl senden""",,,,,,,"""✍️ 也可直接发送金额数字"""
env.input_shares_tip,"""✍️ You can directly send the shares""","""✍️ También puedes enviar un número directamente""","""✍️ Tu peux aussi envoyer un nombre directement""","""✍️ Du kannst auch direkt eine Zahl senden""",,,,,,,"""✍️ 也可直接发送份数数字"""
env.loc.ask,"""📍 Choose delivery location""","""📍 Elige el destino""","""📍 Choisis l’emplacement""","""📍 Zielort wählen""",,,,,,,"""📍 请选择投放位置"""
env.loc.dm,"""💬 DM""","""💬 En privado""","""💬 Message privé""","""💬 Privat senden""",,,,,,,"""💬 私聊发送"""
env.loc.here,"""📣 Current group""","""📣 En este grupo""","""📣 Dans ce groupe""","""📣 In dieser Gruppe""",,,,,,,"""📣 当前群内"""
env.loc.pick,"""🎯 Specific group""","""🎯 Elegir grupo""","""🎯 Choisir un groupe""","""🎯 Gruppe auswählen""",,,,,,,"""🎯 指定群聊"""
env.loc.pick_tip,"ℹ️ Tip: group chat_id usually starts with -100. You can also send a link or @username:
• Example 1: @yourgroup or https://t.me/yourgroup
• Example 2: message link https://t.me/c/123456789/1 (parsed as -100123456789)
• Example 3: -100123456789 (raw chat_id)","ℹ️ Nota: las chat_id de grupo suelen empezar por -100. También puedes enviar un enlace o @usuario:
• Ejemplo 1: @tugrupo o https://t.me/tugrupo
• Ejemplo 2: enlace de mensaje https://t.me/c/123456789/1 (se resolverá a -100123456789)
• Ejemplo 3: -100123456789 (chat_id directa)","ℹ️ Conseil : les chat_id de groupe commencent souvent par -100. Tu peux aussi envoyer un lien ou un @nom :
• Exemple 1 : @votregroupe ou https://t.me/votregroupe
• Exemple 2 : lien de message https://t.me/c/123456789/1 (sera résolu en -100123456789)
• Exemple 3 : -100123456789 (chat_id direct)","ℹ️ Hinweis: Gruppen-chat_id beginnen oft mit -100. Du kannst auch einen Link oder @Namen senden:
• Beispiel 1: @deinegruppe oder https://t.me/deinegruppe
• Beispiel 2: Nachrichtenlink https://t.me/c/123456789/1 (ergibt -100123456789)
• Beispiel 3: -100123456789 (direkte chat_id)",,,,,,,"ℹ️ 提示：群聊 chat_id 通常以 -100 开头；也可以发送群链接或 @用户名，我会自动解析：
• 示例 1：@yourgroup 或 https://t.me/yourgroup
• 示例 2：消息链接 https://t.me/c/123456789/1（将解析为 -100123456789）
• 示例 3：-100123456789（直接 chat_id）"
env.memo.ask,"📝 <b>Blessing/Note (optional)</b>
• Type in the input box below
• Emojis and new lines supported; skip if you prefer
• Example: New day, let’s go! 🎉","📝 <b>Mensaje de buenos deseos (opcional)</b>
• Escribe lo que quieras decir en el campo de abajo
• Emojis y saltos de línea ok. O pulsa «Omitir»
• Ejemplo: ¡Que tengas un gran día! 🎉","📝 <b>Message de vœux (optionnel)</b>
• Saisis ce que tu veux dire dans le champ ci-dessous
• Émojis et sauts de ligne ok. Sinon clique « Passer »
• Exemple : Belle journée à tous ! 🎉","📝 <b>Glückwunschtext (optional)</b>
• Schreibe unten, was du sagen willst
• Emojis und Zeilenumbrüche ok. Oder „Überspringen“ tippen
• Beispiel: Auf einen guten Tag zusammen! 🎉",,,,,,,"📝 <b>填写祝福语（可选）</b>
• 直接在下面的输入栏，键入你想说的话
• 支持表情与换行；不想填写可点「跳过」继续
• 示例：新的一天，大家加油！🎉"
env.memo_label,"""📝 Note:""","""📝 Mensaje: ""","""📝 Message : ""","""📝 Nachricht: """,,,,,,,"""📝 祝福语："""
env.mode.point,"""⭐ Points""","""⭐ Puntos""","""⭐ Points""","""⭐ Punkte""",,,,,,,"""⭐ 积分"""
env.mode.ton,"""🪙 TON""","""🪙 TON""","""🪙 TON""","""🪙 TON""",,,,,,,"""🪙 TON"""
env.mode.usdt,"""💵 USDT""","""💵 USDT""","""💵 USDT""","""💵 USDT""",,,,,,,"""💵 USDT"""
env.mode_title,"""🔘 Choose a token""","""🔘 Elige la moneda""","""🔘 Choisis la devise""","""🔘 Wähle die Währung""",,,,,,,"""🔘 请选择币种"""
env.open_group_btn,"""➡️ Go to packet group""","""➡️ Abrir grupo""","""➡️ Ouvrir le groupe""","""➡️ Gruppe öffnen""",,,,,,,"""➡️ 前往红包群"""
env.quick.no_template,"""📭 No template yet — grab one round first.""","""📭 Sin plantilla. Reclama un sobre y vuelve.""","""📭 Aucun modèle. Récupère une enveloppe puis reviens.""","""📭 Kein Template vorhanden. Greife erst einen Umschlag und versuche es dann erneut.""",,,,,,,"""📭 暂无模板 —— 先抢一个红包再来试试吧。"""
env.relay.only_lucky,"""🍀 Only the Best-Luck user can forward.""","""🍀 Solo el afortunado de la ronda puede reenviar.""","""🍀 Seul l’heureux gagnant peut relayer.""","""🍀 Nur der Glückliche dieser Runde darf weiterleiten.""",,,,,,,"""🍀 只有本轮幸运儿可以转发哦。"""
env.send,"""🚀 Confirm & Send""","""🚀 Confirmar y enviar""","""🚀 Confirmer et envoyer""","""🚀 Bestätigen und senden""",,,,,,,"""🚀 确认并发送"""
env.shares.ask,"""📦 Enter number of shares (e.g., 10)""","""📦 Introduce el número de partes (p. ej. 10)""","""📦 Entre le nombre de parts (ex. 10)""","""📦 Bitte Anzahl der Anteile eingeben (z. B. 10)""",,,,,,,"""📦 请输入份数（如 10）"""
env.success.sent,"""✅ Packet sent!""","""✅ Sobre enviado.""","""✅ Enveloppe envoyée.""","""✅ Umschlag gesendet.""",,,,,,,"""✅ 红包已发送！"""
env.tg.add_group,"""➕ Add a group""","""➕ Añadir grupo""","""➕ Ajouter un groupe""","""➕ Gruppe hinzufügen""",,,,,,,"""➕ 添加群聊"""
env.tg.bind_help,"""🧩 How to bind: invite the bot to your group and grant send permission, then come back to pick it; or tap “🎯 Manual Group ID” and enter a -100 chat_id.""","""🧩 Invita al bot a tu grupo y dale permiso para enviar. Luego elígelo aquí. O usa «🎯 Elegir grupo» e introduce una chat_id -100.""","""🧩 Invite le bot dans ton groupe avec droit d’envoi, puis reviens ici pour le choisir. Ou clique « 🎯 Choisir un groupe » et saisis un chat_id -100.""","""🧩 Lade den Bot in deine Gruppe ein und gib Senderechte. Wähle sie danach hier aus. Oder nutze „🎯 Gruppe auswählen“ und gib eine -100-chat_id ein.""",,,,,,,"""🧩 绑定说明：将机器人邀请进你的群并授予发言权限，然后回到这里选择该群；或点击“🎯 手动指定群聊”输入 -100 开头的 chat_id。"""
env.tg.bind_help_text,"""🧩 How to bind: invite the bot to your group and grant send permission, then come back to pick it; or tap “🎯 Manual Group ID” and enter a -100 chat_id.""","""🧩 Invita al bot a tu grupo con permiso de envío y elígelo aquí. O usa «🎯 Elegir grupo».""","""🧩 Invite le bot dans ton groupe avec droit d’envoi, puis reviens ici pour le choisir. Ou utilise « 🎯 Choisir un groupe ».""","""🧩 Lade den Bot in deine Gruppe mit Senderechten ein und wähle sie hier. Oder nutze „🎯 Gruppe auswählen“.""",,,,,,,"""🧩 绑定说明：将机器人邀请进你的群并授予发言权限，然后回到这里选择该群；或点击“🎯 手动指定群聊”输入 -100 开头的 chat_id。"""
env.tg.bind_in_group,"""🪄 Bind in the group""","""🪄 Vincular en el grupo""","""🪄 Lier dans le groupe""","""🪄 In der Gruppe verknüpfen""",,,,,,,"""🪄 在群里绑定"""
env.tg.bind_new,"""➕ Bind new group""","""➕ Vincular nuevo grupo""","""➕ Lier un nouveau groupe""","""➕ Neue Gruppe verknüpfen""",,,,,,,"""➕ 绑定新群"""
env.tg.change,"""🔄 Change group""","""🔄 Cambiar grupo""","""🔄 Changer de groupe""","""🔄 Gruppe wechseln""",,,,,,,"""🔄 更换目标群"""
env.tg.choose,"""📌 Choose a target group:""","""📌 Elige el grupo objetivo:""","""📌 Choisis le groupe cible :""","""📌 Wähle die Zielgruppe:""",,,,,,,"""📌 请选择要使用的目标群："""
env.tg.chosen,"""✅ Selected: {title}""","""✅ Seleccionado: {title}""","""✅ Sélectionné : {title}""","""✅ Gewählt: {title}""",,,,,,,"""✅ 已选择：{title}"""
env.tg.chosen_bold,"""🔖 <b>Selected: {title}</b>""","""🔖 <b>Seleccionado: {title}</b>""","""🔖 <b>Sélectionné : {title}</b>""","""🔖 <b>Gewählt: {title}</b>""",,,,,,,"""🔖 <b>已选择：{title}</b>"""
env.tg.current,"""📌 Current target group""","""📌 Grupo objetivo actual""","""📌 Groupe cible actuel""","""📌 Aktuelle Zielgruppe""",,,,,,,"""📌 当前目标群"""
env.tg.go_bind,"""🪄 Bind in the group""","""🪄 Vincular en el grupo""","""🪄 Lier depuis le groupe""","""🪄 In der Gruppe verknüpfen""",,,,,,,"""🪄 去群里绑定"""
env.tg.manual_pick,"""🎯 Manual Group ID""","""🎯 Elegir grupo manualmente""","""🎯 Choisir un groupe""","""🎯 Gruppe manuell wählen""",,,,,,,"""🎯 手动指定群聊"""
env.tg.parse_fail,"❌ Could not parse the link or username.
Send one of the following:
• Public group link, e.g., https://t.me/yourgroup
• Message link, e.g., https://t.me/c/123456789/1
• Raw chat_id, e.g., -100123456789","❌ No se reconoció el enlace o el usuario.
Envía uno de estos formatos:
• Enlace público del grupo, p. ej. https://t.me/tugrupo
• Enlace de mensaje, p. ej. https://t.me/c/123456789/1
• chat_id directa, p. ej. -100123456789","❌ Lien ou nom d’utilisateur non reconnu.
Envoie l’un des formats suivants :
• Lien public de groupe, ex. https://t.me/votregroupe
• Lien de message, ex. https://t.me/c/123456789/1
• chat_id direct, ex. -100123456789","❌ Link oder Nutzername nicht erkannt.
Sende eines der folgenden Formate:
• Öffentlicher Gruppenlink, z. B. https://t.me/deinegruppe
• Nachrichtenlink, z. B. https://t.me/c/123456789/1
• Direkte chat_id, z. B. -100123456789",,,,,,,"❌ 无法识别该链接或用户名。
请发送以下任一格式：
• 公共群链接，例如 https://t.me/yourgroup
• 消息链接，例如 https://t.me/c/123456789/1
• 直接 chat_id，例如 -100123456789"
env.tg.parse_ok,"""✅ Parsed and saved: <b>{title}</b> (<code>{chat_id}</code>)""","""✅ Reconocido y guardado: <b>{title}</b> (<code>{chat_id}</code>)""","""✅ Reconnu et enregistré : <b>{title}</b> (<code>{chat_id}</code>)""","""✅ Erkannt und gespeichert: <b>{title}</b> (<code>{chat_id}</code>)""",,,,,,,"""✅ 已识别并保存：<b>{title}</b>（<code>{chat_id}</code>）"""
env.tg.preset,"""📍 Pre-set target group: {chat_id}""","""📍 Grupo objetivo preconfigurado: {chat_id}""","""📍 Groupe cible présélectionné : {chat_id}""","""📍 Voreingestellte Zielgruppe: {chat_id}""",,,,,,,"""📍 已预设目标群：{chat_id}"""
env.tg.unbound,"""🔧 No target group yet.""","""🔧 Sin grupo objetivo.""","""🔧 Aucun groupe cible.""","""🔧 Keine Zielgruppe verknüpft.""",,,,,,,"""🔧 尚未绑定目标群。"""
env.tg.unbound_bold,"""🧩 <b>No target group bound</b>""","""🧩 <b>No tienes grupo objetivo aún</b>""","""🧩 <b>Aucun groupe cible lié</b>""","""🧩 <b>Noch keine Zielgruppe</b>""",,,,,,,"""🧩 <b>你还没有绑定目标群</b>"""
env.tg.unbound_tip,"""🔧 No target group bound. Mention the bot in your group to bind, or tap “Manual Group ID.”""","""🔧 Aún no hay grupo objetivo vinculado. Menciona al bot en el grupo objetivo para vincularlo, o usa «🎯 Elegir grupo» e introduce una chat_id -100.""","""🔧 Aucun groupe cible lié. Mentionne le bot dans le groupe cible pour lier, ou clique « 🎯 Choisir un groupe » et entre un chat_id -100...""","""🔧 Noch keine Zielgruppe verknüpft. Erwähne den Bot in der Zielgruppe, oder nutze „🎯 Gruppe auswählen“ und gib eine -100-chat_id ein.""",,,,,,,"""🔧 还没有绑定任何目标群。可到目标群里 @机器人 进行绑定，或点下方“手动指定群聊”。"""
env.tg.use_this,"""👉 Use this group""","""👉 Usar este grupo""","""👉 Utiliser ce groupe""","""👉 Diese Gruppe nutzen""",,,,,,,"""👉 使用此群继续"""
env.title,"""🧧 Send Packet Wizard""","""🧧 Asistente de envío""","""🧧 Assistant d’envoi""","""🧧 Sende-Assistent""",,,,,,,"""🧧 发红包向导"""
env_send.back,"""⬅️ Back""","""⬅️ Atrás""","""⬅️ Retour""","""⬅️ Zurück""",,"""⬅️ กลับ""","""⬅️ Quay lại""",,,,"""⬅️ 返回"""
env_send.go_group,"""🔗 Go to group""","""🔗 Abrir grupo""","""🔗 Ouvrir le groupe""","""🔗 Gruppe öffnen""",,"""🔗 เปิดกลุ่ม""","""🔗 Mở nhóm""",,,,"""🔗 前往红包群"""
env_send.ok,"""✅ I’ve sent it!""","""✅ Enviado.""","""✅ Envoyé.""","""✅ Gesendet.""",,"""✅ ส่งแล้ว""","""✅ Đã gửi.""",,,,"""✅ 我已发送！"""
env_send.preview_btn,"""👀 Preview packet card""","""👀 Vista previa""","""👀 Aperçu""","""👀 Vorschau""",,"""👀 ดูตัวอย่าง""","""👀 Xem trước""",,,,"""👀 预览红包卡片"""
env_send.previewed_ok,"""✅ Packet sent!""","""✅ Sobre enviado.""","""✅ Enveloppe envoyée.""","""✅ Umschlag gesendet.""",,"""✅ ส่งซองอั่งเปาแล้ว""","""✅ Phong bao đã được gửi.""",,,,"""✅ 红包已发送！"""
env_send.tips,"""Type your blessing in the input area below.\n• Images/voice supported; avoid pure ads\n• Example: New day, let’s go! 🎉""","""Escribe tu mensaje en el campo de abajo.\n• Evita publicidad pura.\n• Ejemplo: ¡Buen día para todos! 🎉""","""Saisis ton message dans le champ ci-dessous.\n• Évite la pub brute. \n• Ex : Belle journée à tous ! 🎉""","""Schreibe deinen Text ins Eingabefeld.\n• Bitte keine reine Werbung.\n• Beispiel: Auf einen guten Tag! 🎉""",,"""พิมพ์ข้อความในช่องด้านล่าง\n• หลีกเลี่ยงข้อความโฆษณา\n• ตัวอย่าง: ขอให้ทุกคนโชคดี 🎉""","""Hãy viết lời chúc trong ô bên dưới.\n• Tránh quảng cáo lộ liễu.\n• Ví dụ: Chúc mọi người một ngày tuyệt vời! 🎉""",,,,"""建议在下面的输入框，输入你想说的话\n• 支持图片/语音；不单纯塞广告【易删】\n• 示例：新的一天，大家加油！🎉"""
env_send.title,"""🧧 Choose packet parameters (optional)""","""🧧 Elige los parámetros (opcional)""","""🧧 Choisis les paramètres (optionnels)""","""🧧 Parameter wählen (optional)""",,"""🧧 เลือกพารามิเตอร์ (ไม่บังคับ)""","""🧧 Chọn tham số (tùy chọn)""",,,,"""🧧 请选择红包参数（可选）"""
env_sent.mvp_line,"""🏆 You’re the “Best Luck” this round. Reuse the parameters with one tap:""","""🏆 Eres la “mejor suerte” de la ronda. Reutiliza estos parámetros:""","""🏆 Tu es « meilleure chance » de la manche. Réutilise ces paramètres :""","""🏆 Du bist „Bestes Glück“ dieser Runde. Parameter wiederverwenden:""",,"""🏆 คุณคือผู้โชคดีที่สุดของรอบนี้ ส่งอีกครั้งด้วยข้อมูลเดียวกัน:""","""🏆 Bạn là “người may mắn nhất” của vòng. Dùng lại tham số này để gửi nhanh:""",,,,"""🏆 你是本轮“手气最佳”。一键复用此轮参数发送红包："""
env_sent.mvp_send_btn,"""🏆 Best-Luck Send""","""🏆 Enviar como MVP""","""🏆 Envoyer en tant que MVP""","""🏆 Als MVP senden""",,"""🏆 ส่งในฐานะ MVP""","""🏆 Gửi với tư cách MVP""",,,,"""🏆 最佳手气发红包"""
env_sent.you_sent,"""You sent {amount} USDT!""","""Has enviado {amount} USDT.""","""Tu as envoyé {amount} USDT.""","""Du hast {amount} USDT gesendet.""",,"""คุณได้ส่ง {amount} USDT!""","""Bạn đã gửi {amount} USDT!""",,,,"""你发出 {amount} USDT！"""
errors.bad_request,"""⚠️ Bad request. Try again.""","""⚠️ Solicitud inválida. Intenta de nuevo.""","""⚠️ Requête invalide. Réessaie.""","""⚠️ Ungültige Anfrage. Bitte erneut versuchen.""",,,"""⚠️ Yêu cầu không hợp lệ. Vui lòng thử lại.""",,,,"""⚠️ 请求有误，请重试"""
errors.not_found,"""🔍 Not found""","""🔍 No encontrado""","""🔍 Introuvable""","""🔍 Nicht gefunden""",,,"""🔍 Không tìm thấy""",,,,"""🔍 未找到"""
errors.only_mvp,"""⚠️ Only the round MVP can do this""","""⚠️ Solo para el MVP de la ronda""","""⚠️ Réservé au MVP de la manche""","""⚠️ Nur für den MVP dieser Runde""",,,"""⚠️ Chỉ dành cho MVP của vòng""",,,,"""⚠️ 仅限本轮 MVP 操作"""
faq.grab.body,"1) On seeing a packet card, tap “Grab now”;
2) Amount is random; ledger is recorded automatically;
3) After the round, view Best Luck and ranking.","1. En la tarjeta, pulsa 【Reclamar ahora】;
2. Importe aleatorio, se registra automáticamente;
3. Al finalizar, revisa “mejor suerte”.","1. Sur la carte, clique 【Récupérer maintenant】 ;
2. Montant aléatoire, comptabilisé automatiquement ;
3. À la fin, consulte “meilleure chance”.","1. Auf der Karte 【Jetzt greifen】 tippen;
2. Betrag ist zufällig und wird verbucht;
3. Nach Ende „Bestes Glück“ ansehen.",,,"1. Trên thẻ, bấm 【Nhận ngay】;
2. Số tiền là ngẫu nhiên, sẽ tự động ghi vào lịch sử;
3. Khi kết thúc, xem “người may mắn nhất”.",,,,"1. 在群里看到红包卡片，点击【立即抢】；
2. 金额为随机拼手气，系统会自动记账；
3. 回合结束可在总结里查看“幸运之星”等信息。"
faq.grab.title,"""🤲 How to grab""","""🤲 Reclamar sobre""","""🤲 Récupérer une enveloppe""","""🤲 Umschlag greifen""",,,"""🤲 Cách nhận phong bao""",,,,"""🤲 如何抢红包"""
faq.rank.body,"· After a round ends, view the round ranking and Best Luck;
· The Today page may be toggled by feature flags.","· Tras cada ronda, revisa la clasificación y la “estrella de la suerte”;
· La entrada “Resumen de hoy” puede variar según la versión.","· Après chaque manche, consulte le classement et le “lucky star” ;
· L’entrée “Bilan du jour” peut dépendre de la version.","· Nach jeder Runde Rangliste und „Glücksstern“ ansehen;
· „Heutige Bilanz“ kann je nach Version variieren.",,,"· Sau mỗi vòng có thể xem BXH và “ngôi sao may mắn”;
· Mục “Thống kê hôm nay” có thể phụ thuộc phiên bản.",,,,"· 抢包回合结束后可以查看当轮排行与“幸运之星”；
· 今日战绩入口可能根据版本开关显示与否。"
faq.rank.title,"""🏆 Ranking / Today""","""🏆 Clasificación/Resumen""","""🏆 Classement/Bilan""","""🏆 Rangliste/Bilanz""",,,"""🏆 BXH/Thống kê hôm nay""",,,,"""🏆 排行/今日战绩"""
faq.recharge.body,"· Use Assets/Top-up/Withdraw wizards;
· On-chain confirmations take time;
· Contact the admin if issues occur.","· Usa «Mis activos/Recarga/Retiro» y sigue el asistente;
· Las confirmaciones en la red llevan tiempo;
· Ante anomalías, contacta con un admin.","· Utilise “Mes actifs/Recharge/Retrait” et suis l’assistant ;
· Les confirmations réseau prennent du temps ;
· En cas d’anomalie, contacte un admin.","· Nutze „Meine Vermögenswerte/Aufladen/Auszahlen“ und folge dem Assistenten;
· On-Chain-Bestätigungen brauchen Zeit;
· Bei Problemen Admin kontaktieren.",,,"· Vào “Tài sản của tôi/Nạp/Rút” và làm theo hướng dẫn;
· Xác nhận trên chuỗi cần thời gian, vui lòng chờ;
· Nếu bất thường, liên hệ quản trị viên.",,,,"· 进入“我的资产/充值/提现”向导，按提示完成；
· 区块链网络需要确认时间，请耐心等待；
· 如遇异常请联系管理员。"
faq.recharge.title,"""💳 Top-up & Withdraw""","""💳 Recarga y retiro""","""💳 Recharge & Retrait""","""💳 Aufladen & Auszahlung""",,,"""💳 Nạp & Rút""",,,,"""💳 充值与提现"""
faq.rules.body,"· Only random split (luck);
· The bot never participates in grabbing;
· For detailed terms, see channel posts or contact admin.","· Solo distribución aleatoria;
· El bot no participa;
· Para más detalles, consulta el canal de anuncios o al admin.","· Répartition uniquement aléatoire ;
· Le bot ne participe pas ;
· Pour plus de détails, vois le canal d’annonces ou contacte un admin.","· Ausschließlich Zufallsverteilung;
· Bot nimmt nicht teil;
· Für Details: Ankündigungskanal oder Admin.",,,"· Chỉ phân phối ngẫu nhiên;
· Bot không tham gia nhận;
· Xem kênh thông báo hoặc liên hệ quản trị viên để biết chi tiết.",,,,"· 仅拼手气随机分配；
· 机器人不参与抢包；
· 如需详细条款，请查看频道公告或联系管理员。"
faq.rules.title,"""⚖️ Rules & Fairness""","""⚖️ Reglas y equidad""","""⚖️ Règles & Équité""","""⚖️ Regeln & Fairness""",,,"""⚖️ Quy tắc & Công bằng""",,,,"""⚖️ 规则与公平性"""
